# Created by VisualPlace version 3.1.6237 at Fri Nov 13 22:37:10 2020
# Report origin: (0.0/0.0) = lower left corner of PCB
# Units: inch
"Designator","Value","X","Y","Rotation","Side","Package","Type"
"R16","1k","0.5405","3.3380","90.0","Top","0805","SMD"
"R21","1k","2.8655","1.3010","90.0","Top","0805","SMD"
"R23","1k","3.4815","2.0630","0.0","Top","0805","SMD"
"R24","1k","3.4805","2.1650","0.0","Top","0805","SMD"
"R29","1k","3.4805","1.4630","0.0","Top","0805","SMD"
"R30","1k","3.4805","1.5650","0.0","Top","0805","SMD"
"R39","1k","3.1545","0.5410","0.0","Top","0805","SMD"
"R40","1k","3.3255","0.5410","0.0","Top","0805","SMD"
"R50","1k","1.9395","2.8810","90.0","Top","0805","SMD"
"R51","1k","1.2645","2.8820","90.0","Top","0805","SMD"
"R57","1k","1.6015","2.8820","90.0","Top","0805","SMD"
"R58","1k","2.2795","2.8830","90.0","Top","0805","SMD"
"R59","1k","3.5275","1.0010","90.0","Top","0805","SMD"
"R60","1k","3.5275","0.6000","90.0","Top","0805","SMD"
"R75","1k","1.9565","0.4030","0.0","Top","0805","SMD"
"R77","1k","2.3375","3.1620","0.0","Top","0805","SMD"
"R78","2k","2.2275","3.3060","270.0","Top","0805","SMD"
"R1","2.49k","1.6685","0.8640","0.0","Top","0805","SMD"
"R3","2.49k","1.6675","0.7780","0.0","Top","0805","SMD"
"R61","2.49k","2.4315","2.9280","0.0","Top","0805","SMD"
"R66","2.49k","2.5695","2.1770","0.0","Top","0805","SMD"
"R67","2.49k","2.5675","2.0770","0.0","Top","0805","SMD"
"R68","2.49k","2.5695","1.8890","0.0","Top","0805","SMD"
"R69","2.49k","2.5685","1.7890","0.0","Top","0805","SMD"
"R70","2.49k","0.0935","1.8140","0.0","Top","0805","SMD"
"R71","2.49k","0.0915","1.6780","0.0","Top","0805","SMD"
"R72","2.49k","0.0915","1.5390","0.0","Top","0805","SMD"
"R73","2.49k","0.0925","1.4030","0.0","Top","0805","SMD"
"R7","3.9k","2.9995","1.2620","0.0","Top","0805","SMD"
"R63","10k","2.1805","0.5540","0.0","Top","0805","SMD"
"R76","51k","0.3255","0.9650","0.0","Top","0805","SMD"
"R9","100k","1.3415","3.3390","90.0","Top","0805","SMD"
"R10","100k","1.3395","3.6260","90.0","Top","0805","SMD"
"R13","100k","0.6525","3.6250","90.0","Top","0805","SMD"
"R14","100k","0.6515","3.3370","90.0","Top","0805","SMD"
"R35","100k","3.4805","2.2540","0.0","Top","0805","SMD"
"R36","100k","3.4805","1.6530","0.0","Top","0805","SMD"
"R37","100k","3.4805","1.9770","0.0","Top","0805","SMD"
"R38","100k","3.4815","1.3750","0.0","Top","0805","SMD"
"R48","100k","1.9395","2.6880","90.0","Top","0805","SMD"
"R49","100k","1.2665","2.6880","90.0","Top","0805","SMD"
"R55","100k","1.6025","2.6870","90.0","Top","0805","SMD"
"R56","100k","2.2765","2.6880","90.0","Top","0805","SMD"
"D15","","3.2872","3.2512","0.0","Top","DO214AC","SMD"
"D17","","0.4865","1.8130","180.0","Top","DO214AC","SMD"
"D18","","0.4845","1.6770","180.0","Top","DO214AC","SMD"
"D19","","0.4845","1.5390","180.0","Top","DO214AC","SMD"
"D20","","0.4835","1.4030","180.0","Top","DO214AC","SMD"
"D54","","1.9595","3.3920","0.0","Top","DO214AC","SMD"
"U1","","2.8788","3.4335","270.0","Top","TO252","SMD"
"LED1","RED","2.3815","2.1790","0.0","Top","0805","SMD"
"LED2","RED","2.3815","2.0770","0.0","Top","0805","SMD"
"LED3","RED","2.3815","1.8900","0.0","Top","0805","SMD"
"LED4","RED","2.3805","1.7870","0.0","Top","0805","SMD"
"LED5","RED","0.2605","1.8150","180.0","Top","0805","SMD"
"LED6","RED","0.2635","1.6760","180.0","Top","0805","SMD"
"LED7","RED","0.2615","1.5370","180.0","Top","0805","SMD"
"LED8","RED","0.2615","1.4030","180.0","Top","0805","SMD"
"IC4","SP720","2.1895","1.5090","0.0","Top","SOIC16","SMD"
"IC1","TC4424","3.1275","2.2030","90.0","Top","SOIC8","SMD"
"IC2","TC4424","3.1285","1.8140","90.0","Top","SOIC8","SMD"
"IC6","ULN2003A","2.4305","0.3780","90.0","Top","SOIC16","SMD"
